# us/u_eta,time_estimate
5.000000000000000000e-01,8.161754774788093636e-01
1.000000000000000000e+00,7.876442882132081991e-01
1.500000000000000000e+00,7.483152225697481397e-01
2.000000000000000000e+00,7.039704984768297980e-01
2.500000000000000000e+00,6.597640647100035949e-01
3.000000000000000000e+00,6.240378280745010331e-01
3.500000000000000000e+00,5.811019688510674630e-01
4.000000000000000000e+00,5.491855844201265491e-01
4.500000000000000000e+00,5.267436201860917766e-01
5.000000000000000000e+00,4.975769397422827867e-01
6.000000000000000000e+00,4.503221020754767379e-01
7.000000000000000000e+00,4.172418599053650534e-01
8.000000000000000000e+00,3.885110938812441628e-01
9.000000000000000000e+00,3.604600088690599891e-01
1.000000000000000000e+01,3.441751413773196933e-01
1.500000000000000000e+01,2.840834068587238526e-01
2.000000000000000000e+01,2.541392433096948400e-01
